unitid,inst_name,cip_desc,credlev,cred_desc,median_earnings_1yr,median_earnings_3yr,median_earnings_5yr,cip4,state,control,avg_annual_tuition_housing,avg_net_price_pub,avg_net_price_priv,unitid_n,credlev_n,credlev_str,composite_key
219505.0,American Baptist College,"Liberal Arts and Sciences, General Studies and Humanities.",2,Associate,,,,2401,TN,2,27241.0,,19294.0,219505,2,2,219505|2401|2
219505.0,American Baptist College,"Liberal Arts and Sciences, General Studies and Humanities.",3,Bachelor,,,,2401,TN,2,27241.0,,19294.0,219505,3,3,219505|2401|3
219505.0,American Baptist College,Religion/Religious Studies.,1,Certificate,,,,3802,TN,2,27241.0,,19294.0,219505,1,1,219505|3802|1
219505.0,American Baptist College,Theological and Ministerial Studies.,1,Certificate,,,,3906,TN,2,27241.0,,19294.0,219505,1,1,219505|3906|1
219505.0,American Baptist College,Theological and Ministerial Studies.,3,Bachelor,,,,3906,TN,2,27241.0,,19294.0,219505,3,3,219505|3906|3
219505.0,American Baptist College,"Theology and Religious Vocations, Other.",3,Bachelor,,,38162.0,3999,TN,2,27241.0,,19294.0,219505,3,3,219505|3999|3
219505.0,American Baptist College,"Human Services, General.",3,Bachelor,,,,4400,TN,2,27241.0,,19294.0,219505,3,3,219505|4400|3
219505.0,American Baptist College,Music.,2,Associate,,,,5009,TN,2,27241.0,,19294.0,219505,2,2,219505|5009|2
219505.0,American Baptist College,Entrepreneurial and Small Business Operations.,3,Bachelor,,,,5207,TN,2,27241.0,,19294.0,219505,3,3,219505|5207|3
219587.0,Arnolds Beauty School,Cosmetology and Related Personal Grooming Services.,1,Certificate,14553.0,,,1204,TN,3,,,10343.0,219587,1,1,219587|1204|1
219596.0,TCAT Athens,Electromechanical Instrumentation and Maintenance Technologies/Technicians.,1,Certificate,,,,1504,TN,1,,3720.0,,219596,1,1,219596|1504|1
219596.0,TCAT Athens,Electrical and Power Transmission Installers.,1,Certificate,,,,4603,TN,1,,3720.0,,219596,1,1,219596|4603|1
219596.0,TCAT Athens,Electrical/Electronics Maintenance and Repair Technology.,1,Certificate,,,,4701,TN,1,,3720.0,,219596,1,1,219596|4701|1
219596.0,TCAT Athens,Heavy/Industrial Equipment Maintenance Technologies.,1,Certificate,38093.0,52342.0,63950.0,4703,TN,1,,3720.0,,219596,1,1,219596|4703|1
219596.0,TCAT Athens,Vehicle Maintenance and Repair Technologies.,1,Certificate,32320.0,31750.0,39188.0,4706,TN,1,,3720.0,,219596,1,1,219596|4706|1
219596.0,TCAT Athens,Precision Metal Working.,1,Certificate,35913.0,37028.0,50465.0,4805,TN,1,,3720.0,,219596,1,1,219596|4805|1
219596.0,TCAT Athens,Allied Health and Medical Assisting Services.,1,Certificate,24242.0,19373.0,22000.0,5108,TN,1,,3720.0,,219596,1,1,219596|5108|1
219596.0,TCAT Athens,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Certificate,46871.0,32873.0,39597.0,5139,TN,1,,3720.0,,219596,1,1,219596|5139|1
219596.0,TCAT Athens,Business Operations Support and Assistant Services.,1,Certificate,16498.0,14682.0,22472.0,5204,TN,1,,3720.0,,219596,1,1,219596|5204|1
